bin.chrom	bin.start	bin.end	bin.length	gene.count	cgi.count	dist.telomere	gc.content	cviki_count	nlaiii_count
chr1	2584410	2734370	149961	0	2	2584410	0.592781	2357	363
chr1	2734371	2786845	52475	0	2	2734371	0.56061	1476	258
chr1	2786846	2837380	50535	0	1	2786846	0.599525	1674	347
chr1	2837381	2889532	52152	0	5	2837381	0.550717	1613	328
chr1	2889533	2941980	52448	1	3	2889533	0.546427	1422	260
chr1	2941981	2992973	50993	2	3	2941981	0.553135	1407	219
chr1	2992974	3043910	50937	0	4	2992974	0.595127	1769	248
chr1	3043911	3095868	51958	1	4	3043911	0.572924	1560	226
chr1	3095869	3146713	50845	0	3	3095869	0.569673	1507	243
chr1	3146714	3199250	52537	0	7	3146714	0.564992	1493	244
chr1	3199251	3251512	52262	0	2	3199251	0.568004	1573	239
chr1	3251513	3303025	51513	0	1	3251513	0.573545	1592	289
chr1	3303026	3353562	50537	0	8	3303026	0.579674	1506	240
chr1	3353563	3405584	52022	2	2	3353563	0.574084	1641	270
chr1	3405585	3456461	50877	0	5	3405585	0.634707	2041	225
chr1	3456462	3509427	52966	1	2	3456462	0.618019	1879	238
chr1	3509428	3562165	52738	2	6	3509428	0.578388	1541	222
chr1	3562166	3615144	52979	1	2	3562166	0.573812	1678	250
chr1	3615145	3667838	52694	1	4	3615145	0.589099	1674	232
chr1	3667839	3724767	56929	3	3	3667839	0.541534	1631	240
chr1	3724768	3780323	55556	2	3	3724768	0.485312	1237	256
chr1	3780324	3836804	56481	2	4	3780324	0.52862	1508	280
chr1	3836805	4039451	202647	0	0	3836805	0.506696	1194	325
chr1	4039452	4093213	53762	0	0	4039452	0.497768	1247	318
chr1	4093214	4151406	58193	0	0	4093214	0.501864	1255	301
chr1	4151407	4205884	54478	0	1	4151407	0.494658	1227	362
chr1	4205885	4263809	57925	0	1	4205885	0.471178	1114	279
chr1	4263810	4320242	56433	0	0	4263810	0.44373	974	321
chr1	4320243	4372508	52266	0	0	4320243	0.46667	1025	315
chr1	4372509	4426009	53501	0	0	4372509	0.506551	1273	331
chr1	4426010	4478015	52006	1	0	4426010	0.461851	893	317
chr1	4478016	4530507	52492	0	0	4478016	0.476682	1030	324
chr1	4530508	4582449	51942	0	0	4530508	0.494937	1148	328
chr1	4582450	4634872	52423	0	0	4582450	0.441428	905	307
chr1	4634873	4689379	54507	0	0	4634873	0.488157	1230	271
chr1	4689380	4741812	52433	1	2	4689380	0.51418	1258	259
chr1	4741813	4793865	52053	0	1	4741813	0.542735	1431	283
chr1	4793866	4845283	51418	0	1	4793866	0.516531	1216	324
chr1	4845284	4897162	51879	0	0	4845284	0.442433	920	270
chr1	4897163	4957104	59942	0	0	4897163	0.435621	1005	359
chr1	4957105	5009809	52705	0	0	4957105	0.464453	1026	347
chr1	5009810	5061254	51445	0	0	5009810	0.456099	912	304
chr1	5061255	5118840	57586	0	0	5061255	0.422881	865	286
chr1	5118841	5171932	53092	0	0	5118841	0.388364	726	298
chr1	5171933	5227839	55907	0	0	5171933	0.456794	989	286
chr1	5227840	5280903	53064	0	0	5227840	0.416177	825	297
chr1	5280904	5333263	52360	0	0	5280904	0.454221	947	309
chr1	5333264	5385944	52681	0	0	5333264	0.470094	1048	305
chr1	5385945	5438635	52691	0	0	5385945	0.46786	1023	333
chr1	5438636	5489527	50892	0	0	5438636	0.488839	1044	279
chr1	5489528	5541306	51779	0	0	5489528	0.489407	1144	280
chr1	5541307	5593694	52388	0	0	5541307	0.497881	1243	286
chr1	5593695	5646410	52716	0	0	5593695	0.431539	839	307
chr1	5646411	5699276	52866	0	0	5646411	0.445012	894	327
chr1	5699277	5754660	55384	0	0	5699277	0.495017	1239	324
chr1	5754661	5808708	54048	0	2	5754661	0.506994	1243	258
chr1	5808709	5862660	53952	0	0	5808709	0.509175	1325	327
chr1	5862661	5916938	54278	0	0	5862661	0.522827	1326	339
chr1	5916939	5968690	51752	1	2	5916939	0.532211	1352	329
chr1	5968691	6021203	52513	0	0	5968691	0.474149	1085	272
chr1	6021204	6073585	52382	1	1	6021204	0.539002	1353	268
chr1	6073586	6128140	54555	0	2	6073586	0.539144	1500	288
chr1	6128141	6180708	52568	1	1	6128141	0.55724	1508	227
chr1	6180709	6234129	53421	0	4	6180709	0.579079	1715	224
chr1	6234130	6292611	58482	3	5	6234130	0.522315	1529	284
chr1	6292612	6345206	52595	3	8	6292612	0.59249	1738	251
chr1	6345207	6402788	57582	0	0	6345207	0.532875	1545	292
chr1	6402789	6465085	62297	0	1	6402789	0.525354	1847	314
chr1	6465086	6528720	63635	5	8	6465086	0.581818	2111	274
chr1	6528721	6584378	55658	1	4	6528721	0.577006	1833	249
chr1	6584379	6646101	61723	2	2	6584379	0.505954	1585	274
chr1	6646102	6701962	55861	4	5	6646102	0.544691	1627	236
chr1	6701963	6759913	57951	0	0	6701963	0.456265	1200	274
chr1	6759914	6821938	62025	0	1	6759914	0.472745	1393	305
chr1	6821939	6877286	55348	1	1	6821939	0.442401	1031	242
chr1	6877287	6930937	53651	0	0	6877287	0.403683	815	244
chr1	6930938	6983037	52100	0	0	6930938	0.448119	1005	273
chr1	6983038	7035522	52485	0	1	6983038	0.500791	1217	245
chr1	7035523	7088625	53103	0	0	7035523	0.479559	1114	292
chr1	7088626	7141151	52526	0	1	7088626	0.473347	1068	218
chr1	7141152	7194329	53178	0	0	7141152	0.483095	1144	303
chr1	7194330	7248118	53789	0	0	7194330	0.454238	1001	302
chr1	7248119	7301990	53872	0	0	7248119	0.447487	951	290
chr1	7301991	7355414	53424	0	0	7301991	0.443827	957	274
chr1	7355415	7407623	52209	0	0	7355415	0.442625	972	266
chr1	7407624	7461187	53564	0	0	7407624	0.484841	1195	298
chr1	7461188	7517989	56802	0	0	7461188	0.526918	1519	293
chr1	7517990	7569545	51556	0	0	7517990	0.544224	1468	338
chr1	7569546	7622683	53138	0	0	7569546	0.523335	1396	281
chr1	7622684	7681357	58674	0	0	7622684	0.519259	1494	291
chr1	7681358	7733632	52275	0	1	7681358	0.558508	1615	225
chr1	7733633	7786637	53005	0	2	7733633	0.505499	1311	234
chr1	7786638	7841260	54623	1	1	7786638	0.419512	919	258
chr1	7841261	7895828	54568	1	3	7841261	0.4155	836	241
chr1	7895829	7952694	56866	1	0	7895829	0.445873	1092	302
chr1	7952695	8011765	59071	1	1	7952695	0.442163	1105	281
chr1	8011766	8072428	60663	2	2	8011766	0.462094	1227	280
chr1	8072429	8130106	57678	0	1	8072429	0.427061	1014	279
chr1	8130107	8187516	57410	0	0	8130107	0.4359	1049	309
chr1	8187517	8246643	59127	0	0	8187517	0.461447	1299	303
chr1	8246644	8306736	60093	0	2	8246644	0.488443	1388	313
chr1	8306737	8368538	61802	0	0	8306737	0.461134	1355	346
chr1	8368539	8423408	54870	2	7	8368539	0.534317	1455	278
chr1	8423409	8477132	53724	0	0	8423409	0.444531	1016	258
chr1	8477133	8531462	54330	0	1	8477133	0.440162	988	245
chr1	8531463	8588871	57409	0	0	8531463	0.419394	1051	254
chr1	8588872	8643094	54223	0	0	8588872	0.391255	790	219
chr1	8643095	8702744	59650	0	0	8643095	0.398508	903	247
chr1	8702745	8759015	56271	0	0	8702745	0.404684	893	264
chr1	8759016	8814628	55613	0	1	8759016	0.407297	898	256
chr1	8814629	8873156	58528	0	0	8814629	0.416894	1048	292
chr1	8873157	8932602	59446	1	2	8873157	0.474935	1371	272
chr1	8932603	8997861	65259	0	1	8932603	0.477926	1486	309
chr1	8997862	9058862	61001	1	0	8997862	0.477828	1404	306
chr1	9058863	9116094	57232	2	1	9058863	0.496173	1408	297
chr1	9116095	9175356	59262	1	1	9116095	0.49158	1359	280
chr1	9175357	9234461	59105	1	1	9175357	0.49341	1461	271
chr1	9234462	9291636	57175	0	2	9234462	0.498452	1359	304
chr1	9291637	9344867	53231	1	3	9291637	0.52569	1367	220
chr1	9344868	9398766	53899	1	0	9344868	0.530733	1307	250
chr1	9398767	9453049	54283	0	2	9398767	0.543282	1487	260
chr1	9453050	9510436	57387	0	1	9453050	0.505794	1483	302
chr1	9510437	9571655	61219	0	1	9510437	0.493393	1522	338
chr1	9571656	9637132	65477	1	1	9571656	0.468592	1494	300
chr1	9637133	9694966	57834	1	3	9637133	0.547584	1688	251
chr1	9694967	9755954	60988	2	2	9694967	0.503361	1574	287
chr1	9755955	9814156	58202	1	3	9755955	0.512165	1582	335
chr1	9814157	9876919	62763	0	1	9814157	0.463968	1328	316
chr1	9876920	9934062	57143	1	1	9876920	0.518891	1569	259
chr1	9934063	9995512	61450	1	2	9934063	0.482766	1452	295
chr1	9995513	10063072	67560	2	2	9995513	0.46794	1577	342
chr1	10063073	10128872	65800	1	1	10063073	0.465578	1442	335
chr1	10128873	10187900	59028	0	0	10128873	0.426408	1078	320
chr1	10187901	10249224	61324	0	0	10187901	0.440904	1221	300
chr1	10249225	10312561	63337	1	1	10249225	0.447385	1368	308
chr1	10312562	10368429	55868	0	0	10312562	0.398475	896	269
chr1	10368430	10425794	57365	0	1	10368430	0.418722	959	250
chr1	10425795	10488203	62409	1	1	10425795	0.476342	1434	293
chr1	10488204	10550781	62578	5	3	10488204	0.476078	1458	284
chr1	10550782	10604531	53750	0	0	10550782	0.450437	1024	213
chr1	10604532	10661526	56995	0	0	10604532	0.420598	980	256
chr1	10661527	10713329	51803	1	4	10661527	0.545297	1493	235
chr1	10713330	10763531	50202	0	7	10713330	0.594558	1692	197
chr1	10763532	10816519	52988	0	1	10763532	0.556088	1578	242
chr1	10816520	10868839	52320	0	1	10816520	0.522821	1245	181
chr1	10868840	10922937	54098	0	1	10868840	0.532885	1449	257
chr1	10922938	10977431	54494	0	0	10922938	0.525324	1437	244
chr1	10977432	11035650	58219	1	0	10977432	0.515605	1568	281
chr1	11035651	11100662	65012	2	1	11035651	0.467867	1452	313
chr1	11100663	11162464	61802	2	2	11100663	0.500291	1551	270
chr1	11162465	11218939	56475	1	0	11162465	0.452112	1154	292
chr1	11218940	11278669	59730	1	0	11218940	0.440984	1149	290
chr1	11278670	11338927	60258	1	2	11278670	0.45184	1259	316
chr1	11338928	11397166	58239	0	0	11338928	0.511376	1502	287
chr1	11397167	11454252	57086	0	0	11397167	0.503679	1366	305
chr1	11454253	11510736	56484	0	0	11454253	0.495592	1305	317
chr1	11510737	11563057	52321	1	2	11510737	0.528124	1400	252
chr1	11563058	11616762	53705	0	2	11563058	0.513528	1345	261
chr1	11616763	11670981	54219	0	0	11616763	0.501153	1353	256
chr1	11670982	11726875	55894	3	4	11670982	0.530629	1540	261
chr1	11726876	11784383	57508	2	3	11726876	0.537664	1582	317
chr1	11784384	11840951	56568	1	2	11784384	0.530618	1598	281
chr1	11840952	11896295	55344	2	1	11840952	0.502584	1372	256
chr1	11896296	11952066	55771	3	2	11896296	0.515501	1496	277
chr1	11952067	12015124	63058	2	2	11952067	0.516144	1709	321
chr1	12015125	12074813	59689	1	1	12015125	0.518672	1502	323
chr1	12074814	12134033	59220	2	2	12074814	0.524384	1627	265
chr1	12134034	12192984	58951	0	0	12134034	0.496769	1394	293
chr1	12192985	12246873	53889	1	1	12192985	0.536083	1519	231
chr1	12246874	12304089	57216	1	3	12246874	0.505942	1447	284
chr1	12304090	12359569	55480	0	0	12304090	0.415573	911	279
chr1	12359570	12414425	54856	0	0	12359570	0.411824	892	246
chr1	12414426	12470855	56430	0	0	12414426	0.409817	879	254
chr1	12470856	12523652	52797	0	0	12470856	0.422581	867	250
chr1	12523653	12576093	52441	2	0	12523653	0.452509	1041	241
chr1	12576094	12633366	57273	1	1	12576094	0.501336	1467	272
chr1	12633367	12687496	54130	0	2	12633367	0.51428	1329	256
chr1	12687497	12745450	57954	1	0	12687497	0.466439	1230	308
chr1	12745451	12804212	58762	1	0	12745451	0.430329	1046	292
chr1	12804213	12870262	66050	3	0	12804213	0.448978	1173	344
chr1	12870263	13189333	319071	12	0	12870263	0.455162	5043	1466
chr1	13189334	13824108	634775	12	0	13189334	0.466839	10002	2508
chr1	13824109	13881621	57513	0	2	13824109	0.483838	1313	288
chr1	13881622	13942334	60713	1	2	13881622	0.45328	1168	256
chr1	13942335	14004077	61743	0	0	13942335	0.440568	1122	325
chr1	14004078	14058837	54760	1	1	14004078	0.412911	826	275
chr1	14058838	14110989	52152	0	1	14058838	0.411681	790	220
chr1	14110990	14163784	52795	0	0	14110990	0.485311	1083	262
chr1	14163785	14220484	56700	0	1	14163785	0.423527	948	307
chr1	14220485	14274363	53879	0	0	14220485	0.437276	957	306
chr1	14274364	14330017	55654	0	0	14274364	0.426923	898	291
chr1	14330018	14384213	54196	0	0	14330018	0.42278	859	315
chr1	14384214	14436688	52475	0	0	14384214	0.429385	854	277
chr1	14436689	14490646	53958	0	0	14436689	0.434393	927	279
chr1	14490647	14543325	52679	0	0	14490647	0.416807	883	258
chr1	14543326	14596379	53054	0	0	14543326	0.40898	797	276
chr1	14596380	14650805	54426	0	0	14596380	0.416198	849	285
chr1	14650806	14707915	57110	0	0	14650806	0.428226	965	298
chr1	14707916	14766827	58912	0	0	14707916	0.42976	970	281
chr1	14766828	14820456	53629	0	0	14766828	0.43098	926	313
chr1	14820457	14874337	53881	0	0	14820457	0.435515	928	301
chr1	14874338	14927649	53312	1	1	14874338	0.454401	997	235
chr1	14927650	14980605	52956	0	0	14927650	0.448089	949	279
chr1	14980606	15033583	52978	0	0	14980606	0.465835	1068	267
chr1	15033584	15086148	52565	0	0	15033584	0.47427	1070	273
chr1	15086149	15140108	53960	0	1	15086149	0.484118	1202	293
chr1	15140109	15193698	53590	0	0	15140109	0.483784	1130	271
chr1	15193699	15249493	55795	0	0	15193699	0.486585	1233	291
chr1	15249494	15303906	54413	0	1	15249494	0.519012	1347	276
chr1	15303907	15360111	56205	0	0	15303907	0.518459	1453	316
chr1	15360112	15414162	54051	0	1	15360112	0.517123	1386	281
chr1	15414163	15467418	53256	1	0	15414163	0.499869	1230	241
chr1	15467419	15522385	54967	1	1	15467419	0.485873	1209	266
chr1	15522386	15576421	54036	1	2	15522386	0.470372	1129	287
chr1	15576422	15633594	57173	0	0	15576422	0.450195	1149	304
chr1	15633595	15687618	54024	0	0	15633595	0.48447	1178	287
chr1	15687619	15743198	55580	1	1	15687619	0.504264	1344	254
chr1	15743199	15803183	59985	3	0	15743199	0.512495	1547	311
chr1	15803184	15862193	59010	2	3	15803184	0.474767	1293	306
chr1	15862194	15923418	61225	1	1	15862194	0.452528	1297	298
chr1	15923419	15983257	59839	1	2	15923419	0.444677	1217	261
chr1	15983258	16043034	59777	2	1	15983258	0.470348	1348	302
chr1	16043035	16100191	57157	3	5	16043035	0.568662	1830	254
chr1	16100192	16167796	67605	2	2	16100192	0.491754	1672	324
chr1	16167797	16228898	61102	1	2	16167797	0.43015	1207	261
chr1	16228899	16282753	53855	1	3	16228899	0.475091	1245	245
chr1	16282754	16339681	56928	1	1	16282754	0.487405	1318	280
chr1	16339682	16402508	62827	4	1	16339682	0.590049	1966	268
chr1	16402509	16460783	58275	1	0	16402509	0.533213	1603	271
chr1	16460784	16515779	54996	0	4	16460784	0.55424	1563	276
chr1	16515780	16570981	55202	2	4	16515780	0.536448	1523	274
chr1	16570982	16630302	59321	1	0	16570982	0.440485	1175	335
chr1	16630303	16695949	65647	1	2	16630303	0.449114	1374	331
chr1	16695950	16755896	59947	1	0	16695950	0.499024	1525	307
chr1	16755897	16819157	63261	2	2	16755897	0.494333	1585	326
chr1	16819158	16949550	130393	3	6	16819158	0.456696	2417	681
chr1	16949551	17056655	107105	2	10	16949551	0.513664	2821	488
chr1	17056656	17257430	200775	2	10	17056656	0.470708	3010	767
chr1	17257431	17322923	65493	2	4	17257431	0.565679	2124	308
chr1	17322924	17379514	56591	1	2	17322924	0.475941	1331	264
chr1	17379515	17435203	55689	1	1	17379515	0.507784	1360	315
chr1	17435204	17489772	54569	0	2	17435204	0.487383	1266	299
chr1	17489773	17543524	53752	1	0	17489773	0.493954	1266	283
chr1	17543525	17596820	53296	1	0	17543525	0.520865	1403	270
chr1	17596821	17653171	56351	1	0	17596821	0.483718	1265	297
chr1	17653172	17710912	57741	1	0	17653172	0.502866	1373	301
chr1	17710913	17766646	55734	1	3	17710913	0.524509	1461	257
chr1	17766647	17836606	69960	0	0	17766647	0.486407	1686	409
chr1	17836607	17893938	57332	1	1	17836607	0.515018	1526	301
chr1	17893939	17946668	52730	0	0	17893939	0.544661	1522	275
chr1	17946669	17998481	51813	0	1	17946669	0.555961	1544	272
chr1	17998482	18051044	52563	0	1	17998482	0.531229	1370	267
chr1	18051045	18103597	52553	1	0	18051045	0.509352	1365	220
chr1	18103598	18157076	53479	0	1	18103598	0.466744	1137	272
chr1	18157077	18209856	52780	0	0	18157077	0.496192	1206	295
chr1	18209857	18261422	51566	0	0	18209857	0.485494	1089	254
chr1	18261423	18314264	52842	0	0	18261423	0.477915	1123	319
chr1	18314265	18366273	52009	0	0	18314265	0.480571	1068	302
chr1	18366274	18418111	51838	0	0	18366274	0.488792	1147	277
chr1	18418112	18470624	52513	1	3	18418112	0.508845	1242	261
chr1	18470625	18522875	52251	0	0	18470625	0.501081	1186	264
chr1	18522876	18574327	51452	0	0	18522876	0.485598	1108	282
chr1	18574328	18625925	51598	0	0	18574328	0.502868	1221	272
chr1	18625926	18677003	51078	0	0	18625926	0.496985	1180	274
chr1	18677004	18728471	51468	0	2	18677004	0.49522	1111	255
chr1	18728472	18781395	52924	0	0	18728472	0.462815	999	274
chr1	18781396	18834912	53517	1	1	18781396	0.476073	1142	260
chr1	18834913	18887270	52358	0	0	18834913	0.46755	1062	284
chr1	18887271	18942362	55092	0	0	18887271	0.49116	1328	290
chr1	18942363	18994319	51957	1	7	18942363	0.516812	1236	204
chr1	18994320	19047906	53587	0	1	18994320	0.522123	1351	267
chr1	19047907	19099909	52003	0	0	19047907	0.488068	1129	284
chr1	19099910	19153081	53172	0	1	19099910	0.508106	1272	277
chr1	19153082	19204686	51605	2	2	19153082	0.51712	1231	274
chr1	19204687	19257199	52513	1	2	19204687	0.543066	1500	268
chr1	19257200	19309939	52740	0	1	19257200	0.503489	1304	246
chr1	19309940	19364892	54953	0	0	19309940	0.463105	1097	282
chr1	19364893	19417966	53074	1	0	19364893	0.527886	1446	268
chr1	19417967	19469167	51201	0	0	19417967	0.441964	952	227
chr1	19469168	19521833	52666	0	0	19469168	0.418088	893	247
chr1	19521834	19577977	56144	1	2	19521834	0.44938	1204	262
chr1	19577978	19638653	60676	5	3	19577978	0.493556	1469	289
chr1	19638654	19692839	54186	2	1	19638654	0.537777	1558	221
chr1	19692840	19745209	52370	0	0	19692840	0.496487	1310	261
chr1	19745210	19799075	53866	0	0	19745210	0.466732	1131	234
chr1	19799076	19857290	58215	0	1	19799076	0.467611	1278	334
chr1	19857291	19920720	63430	0	0	19857291	0.452262	1412	333
chr1	19920721	19977211	56491	3	2	19920721	0.462109	1216	260
chr1	19977212	20033344	56133	2	2	19977212	0.526125	1572	278
chr1	20033345	20088465	55121	0	0	20033345	0.483591	1249	328
chr1	20088466	20144327	55862	1	1	20088466	0.486073	1263	286
chr1	20144328	20203236	58909	0	0	20144328	0.424231	1038	329
chr1	20203237	20257153	53917	2	1	20203237	0.444721	1014	216
chr1	20257154	20313147	55994	1	0	20257154	0.461621	1084	293
chr1	20313148	20378946	65799	0	0	20313148	0.405006	923	299
chr1	20378947	20432909	53963	1	0	20378947	0.464818	1131	281
chr1	20432910	20488278	55369	2	0	20432910	0.498293	1306	305
chr1	20488279	20539896	51618	2	1	20488279	0.490798	1191	254
chr1	20539897	20593918	54022	0	1	20539897	0.44654	1002	260
chr1	20593919	20645855	51937	1	0	20593919	0.500433	1175	311
chr1	20645856	20698261	52406	1	2	20645856	0.501431	1207	245
chr1	20698262	20749992	51731	0	0	20698262	0.480563	1146	245
chr1	20749993	20803449	53457	0	0	20749993	0.488262	1132	244
chr1	20803450	20859543	56094	2	2	20803450	0.488181	1234	235
chr1	20859544	20917169	57626	2	1	20859544	0.484486	1298	300
chr1	20917170	20976378	59209	1	1	20917170	0.484453	1384	316
chr1	20976379	21033854	57476	2	3	20976379	0.520043	1489	291
chr1	21033855	21088774	54920	2	2	21033855	0.49248	1326	247
chr1	21088775	21148241	59467	1	1	21088775	0.433686	1117	269
chr1	21148242	21206007	57766	0	0	21148242	0.391926	897	288
chr1	21206008	21260737	54730	0	0	21206008	0.376594	760	249
chr1	21260738	21314973	54236	0	0	21260738	0.375544	691	248
chr1	21314974	21369932	54959	0	0	21314974	0.395367	849	243
chr1	21369933	21428554	58622	0	0	21369933	0.390877	861	304
chr1	21428555	21485759	57205	0	0	21428555	0.397011	1017	269
chr1	21485760	21548804	63045	1	1	21485760	0.466984	1458	293
chr1	21548805	21605606	56802	0	1	21548805	0.512623	1530	270
chr1	21605607	21660875	55269	0	1	21605607	0.520635	1488	280
chr1	21660876	21722884	62009	0	1	21660876	0.493961	1498	299
chr1	21722885	21805177	82293	1	4	21722885	0.4505	1473	416
chr1	21805178	21868788	63611	1	1	21805178	0.49482	1525	307
chr1	21868789	21924568	55780	1	0	21868789	0.536285	1618	251
chr1	21924569	21977229	52661	0	2	21924569	0.564478	1588	241
chr1	21977230	22031534	54305	1	4	21977230	0.481263	1217	281
chr1	22031535	22087681	56147	0	0	22031535	0.403334	948	270
chr1	22087682	22151398	63717	2	3	22087682	0.482195	1501	324
chr1	22151399	22206877	55479	0	2	22151399	0.568539	1680	294
chr1	22206878	22261047	54170	0	2	22206878	0.546982	1620	230
chr1	22261048	22345438	84391	2	0	22261048	0.505066	2235	464
chr1	22345439	22407924	62486	2	2	22345439	0.455254	1309	287
chr1	22407925	22461667	53743	1	2	22407925	0.475243	1208	231
chr1	22461668	22515483	53816	0	1	22461668	0.528876	1416	268
chr1	22515484	22569195	53712	0	0	22515484	0.499981	1290	265
chr1	22569196	22620529	51334	0	1	22569196	0.534013	1375	250
chr1	22620530	22674574	54045	0	1	22620530	0.478694	1114	274
chr1	22674575	22727760	53186	0	0	22674575	0.482646	1175	298
chr1	22727761	22783255	55495	1	1	22727761	0.445446	1012	275
chr1	22783256	22835442	52187	0	0	22783256	0.406346	872	223
chr1	22835443	22887464	52022	0	0	22835443	0.510784	1243	254
chr1	22887465	22938698	51234	1	4	22887465	0.553539	1341	366
chr1	22938699	22991328	52630	3	1	22938699	0.522554	1358	275
chr1	22991329	23045426	54098	1	2	22991329	0.506636	1294	297
chr1	23045427	23098161	52735	0	0	23045427	0.51097	1391	264
chr1	23098162	23149566	51405	0	1	23098162	0.525182	1415	248
chr1	23149567	23202358	52792	1	0	23149567	0.510418	1396	288
chr1	23202359	23255685	53327	0	0	23202359	0.519155	1328	311
chr1	23255686	23314117	58432	0	1	23255686	0.468288	1292	303
chr1	23314118	23374480	60363	2	1	23314118	0.417027	1044	253
chr1	23374481	23426967	52487	1	0	23374481	0.411416	900	213
chr1	23426968	23483454	56487	0	0	23426968	0.417282	978	245
chr1	23483455	23542472	59018	1	1	23483455	0.473567	1369	339
chr1	23542473	23603516	61044	0	1	23542473	0.469776	1414	293
chr1	23603517	23658162	54646	1	0	23603517	0.379296	787	232
chr1	23658163	23717495	59333	3	2	23658163	0.460233	1279	246
chr1	23717496	23773778	56283	1	2	23717496	0.497166	1381	300
chr1	23773779	23833154	59376	1	1	23773779	0.4872	1394	289
chr1	23833155	23889999	56845	1	4	23833155	0.504583	1423	274
chr1	23890000	23946342	56343	0	2	23890000	0.49046	1350	254
chr1	23946343	24008679	62337	1	0	23946343	0.48018	1443	362
chr1	24008680	24073246	64567	2	2	24008680	0.468784	1397	316
chr1	24073247	24130790	57544	4	3	24073247	0.48462	1359	272
chr1	24130791	24194289	63499	1	1	24130791	0.457094	1292	297
chr1	24194290	24255577	61288	1	1	24194290	0.477679	1434	311
chr1	24255578	24412702	157125	3	2	24255578	0.455981	3305	769
chr1	24412703	24465937	53235	1	0	24412703	0.519019	1385	278
chr1	24465938	24521683	55746	1	1	24465938	0.482133	1259	267
chr1	24521684	24578323	56640	1	0	24521684	0.477666	1252	296
chr1	24578324	24635820	57497	0	0	24578324	0.456354	1159	249
chr1	24635821	24687364	51544	2	1	24635821	0.500931	1245	224
chr1	24687365	24740272	52908	0	1	24687365	0.430786	955	221
chr1	24740273	24794007	53735	1	1	24740273	0.451568	1100	267
chr1	24794008	24851198	57191	1	1	24794008	0.447623	1137	274
chr1	24851199	24907897	56699	1	1	24851199	0.459938	1164	261
chr1	24907898	24967501	59604	0	0	24907898	0.448661	1234	268
chr1	24967502	25026509	59008	1	1	24967502	0.439466	1110	271
chr1	25026510	25089219	62710	1	1	25026510	0.482523	1497	296
chr1	25089220	25150125	60906	0	0	25089220	0.411946	1041	301
chr1	25150126	25207425	57300	0	1	25150126	0.451675	1136	267
chr1	25207426	25259916	52491	1	3	25207426	0.525614	1379	238
chr1	25259917	25310721	50805	0	0	25259917	0.519988	1291	255
chr1	25310722	25362351	51630	0	0	25310722	0.532326	1461	256
chr1	25362352	25416102	53751	0	0	25362352	0.508679	1330	267
chr1	25416103	25470943	54841	0	0	25416103	0.481902	1238	289
chr1	25470944	25526851	55908	0	0	25470944	0.457555	1131	269
chr1	25526852	25586165	59314	2	3	25526852	0.454109	1239	264
chr1	25586166	25705602	119437	3	4	25586166	0.455562	2474	607
chr1	25705603	25788206	82604	1	1	25705603	0.445899	1628	395
chr1	25788207	25849489	61283	0	0	25788207	0.436434	1188	268
chr1	25849490	25901633	52144	1	1	25849490	0.537857	1473	245
chr1	25901634	25960077	58444	1	2	25901634	0.481435	1283	264
chr1	25960078	26014449	54372	0	0	25960078	0.461579	1160	260
